cell_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,DMSO_TF,Drug
file1_cell1006,-0.025607199,-0.042321972,-0.014232247,-0.081942413,-0.016116318,-0.031624815,-0.044599213,-0.017413929,-0.018301732,-0.024794047,-0.038969403,-0.07584432,-0.071837068,-0.025263339,-0.080085529,-0.047606675,0.009439651,-0.063295143,-0.024338543,-0.055066601,-0.050888712,0.018421818,0.057123583,-0.059751999,-0.041884836,0.00362198,0.044029033,0.001262165,-0.018567431,0.018686734302178782,-0.026649976,-0.026959627,0.069278131,-0.121973403,-0.023533325,-0.000852221,-0.009314578,0.000274841,-0.01285474,-0.006102509,-0.065380057,-0.017489922,-0.001276201,-0.018911869,-0.063573494,-0.01261007,0.037980053,-0.049368621,-0.05810101,-0.064010043,1,nan
file1_cell1007,-0.01896151,-0.040258177,-0.006250685,-0.080794171,-0.012641722,-0.021882301,-0.004889785,-0.072856559,-0.012996471,-0.016350023,-0.018959817,-0.091111936,-0.06246983,-0.038327401,-0.063961269,-0.08114026,0.023255187,-0.052432372,-0.065034443,-0.112200289,0.022363800980648534,-0.025466531,-0.00092391,-0.095112458,-0.024546621,-0.02674156,0.058142225271234464,-0.046041835,-0.01613976,-0.020173977,-0.039561545,-0.008465201,0.019234104291916725,-0.104388683,-0.033948855,0.016529007028191336,-0.005008223,0.017519375975633394,-0.009896028,0.002227104,-0.033474478,0.025144476259069175,0.008724813,-0.031805294,-0.050022009,0.024038650837319233,-0.00578454,-0.038186135,0.016965895,-0.026961989,1,nan
file1_cell1008,-0.013551812,-0.028485989,-0.00705133,-0.058292806,-0.013117176,-0.013237662,0.002567611,-0.063314866,-0.009281365,-0.008522756,-0.012265378,-0.069324901,-0.044725134,-0.025252247,-0.034501805,-0.059363797,0.016421335,-0.02965818,-0.043523173,-0.071280694,0.020874204,-0.026053627,-0.005875296,-0.067424786,-0.007923023,-0.026456408,0.038831604,-0.03883132,-0.007747724,-0.015490221,-0.034823982,-0.003416954,0.005671767,-0.055043398,-0.025533032,0.00959155,0.001276528,0.005211002,-0.010986337,0.004582693,-0.013556241,0.018751613717775905,0.006813522,-0.02289874,-0.027995479,0.015647064,-0.016011727,-0.00985547,0.027433458,-0.008681521,1,nan
file1_cell1009,-0.026653805,-0.04229953,-0.008969253,-0.085352768,-0.014471905,-0.030967869,-0.01895072,-0.085613626,-0.023555153,-0.021055499,-0.043091627,-0.094551524,-0.08185726,-0.025276993,-0.071348597,-0.012318548,0.005023581,-0.064566379,-0.009385863,-0.033131647,-0.0466833,-0.024104668,0.041572262,-0.081870963,0.030074438,-0.002069052,0.051759106,-0.044108456,-0.031706582,0.01693847,-0.004660281,-0.003348308,0.044689164372969804,-0.094029403,-0.006495732,-0.029874191,0.007458539,0.003046453,-0.0016024,-0.026031983,-0.064556472,0.009033814,0.041640044,0.007085607,-0.072552611,-0.005381244,-0.065689794,0.002769977,0.032732179783652386,0.005472099,1,nan
file1_cell101,-0.013551812,-0.028485989,-0.00705133,-0.058292806,-0.013117176,-0.013237662,0.002567611,-0.063314866,-0.009281365,-0.008522756,-0.012265378,-0.069324901,-0.044725134,-0.025252247,-0.034501805,-0.059363797,0.016421335079789164,-0.02965818,-0.043523173,-0.071280694,0.020874204438874847,-0.026053627,-0.005875296,-0.067424786,-0.007923023,-0.026456408,0.038831604,-0.03883132,-0.007747724,-0.015490221,-0.034823982,-0.003416954,0.005671767,-0.055043398,-0.025533032,0.00959155,0.001276528,0.005211002,-0.010986337,0.004582693,-0.013556241,0.018751613717840995,0.006813522,-0.02289874,-0.027995479,0.015647064058498472,-0.016011727,-0.00985547,0.027433458,-0.008681521,1,nan
file1_cell1010,-0.040546646,-0.196261638,-0.048247102,-0.15258632,-0.113392302,-0.009985427,-0.124697948,0.20129537908261377,-0.190077317,0.11860747325273378,0.22310367656537347,-0.293303333,0.056120159090847783,-0.049494955,0.087527908,-0.512665043,-0.304819916,0.3032405770878056,0.047942446,-0.490164362,-0.203560694,-0.624902088,0.27388396732942066,-0.28683239,0.05594953,-0.359468149,0.9518712305312812,0.10707451499886263,0.4540629664136058,0.9533068228237714,-0.440429748,-1.15212599,0.24779940563968827,-0.220874201,-0.899482976,-0.629401429,0.9819681027856696,-0.219198452,0.9359415112051189,0.23757140105943275,-0.113658519,-1.714677456,-0.391821382,0.26228522309794233,0.061686302,-0.221078188,1.7037698089840632,-1.425120985,-0.260729296,0.32368266635343085,1,nan
file1_cell1011,-0.047525121,-0.070335565,-0.010817164,-0.140403156,-0.025801673,-0.062176171,-0.024147933,-0.142606342,-0.046207042,-0.066680115,-0.123381105,-0.073666678,-0.09981522,-0.066701406,-0.093400917,-0.027996589,-0.003298214,-0.112138633,-0.044689494,-0.060230597,-0.092798266,-0.005627023,0.073657664,-0.037595532,0.019651580130577155,-0.086965052,0.034138189558913255,-0.127399497,-0.074019818,0.14573785938866915,-0.062806946,-0.137967286,0.099531921,-0.128817842,0.014390088881372998,-0.090581871,-0.098263186,0.022203843631641778,-0.1639502,-0.056086992,-0.196380576,-0.041777495,-0.086613475,-0.006644716,-0.071752525,-0.008878269,-0.248618932,-0.084566389,-0.001158422,-0.036565973,1,nan
file1_cell1012,-0.028328572,-0.039979845,0.000898196,-0.149673556,0.038892641103887175,-0.05056366,0.018738549169266896,-0.100581931,-0.056352363,-0.028499305,-0.070459413,-0.1593605,-0.133823404,-0.033431272,-0.164152917,0.6821794059641494,0.074771979,0.008843602,-0.191934059,-0.121911332,0.013198968921403003,0.18934572208043066,0.11561675704625045,-0.341056789,-0.085217725,0.038390833,0.050528499961899405,-0.006552986,0.074901235,0.05092309,0.032543018270278945,-0.241595334,-0.155637175,-0.432986046,-0.487570212,-0.024659236,0.36963713217776634,-0.303889946,-0.37174314,0.20462078492836316,-0.299685391,-0.198045208,0.010546163747275792,-0.370519721,-0.368956736,0.8560272853012182,-0.135449403,-0.013525857,-0.071600232,0.558791545,1,nan
file1_cell1013,-0.033601981,-0.05397549,-0.006751412,-0.01759065,0.2081782299961482,-0.039206059,-0.021700652,-0.072441987,-0.031453614,-0.025313646,-0.018828565,-0.046321529,-0.013391834,-0.008838714,-0.064773225,-0.030323828,-0.016889869,-0.035647554,-0.037893515,-0.165460583,0.045821091,-0.041145509,0.011120052819393557,-0.165625503,0.1614238686165834,-0.016813943,0.10788760279824777,-0.006381327,-0.001904017,0.026300518300761598,-0.023282853,-0.156162792,0.017955506216672915,-0.109544592,0.010417233,-0.041149064,-0.06236903,0.026944525008855233,-0.016418787,-0.017399663,-0.105583648,0.067961881,0.028553217647061792,0.055768718487247036,0.073092329,-0.064733268,-0.013692372,-0.012428019,0.070425059,-0.014348469,1,nan
file1_cell1014,-0.017424283,-0.040833191,-0.017809196,-0.086974738,-0.016572965,0.001996668,-0.003851392,-0.098082493,-0.008111279,-0.009729709,-0.044796573,-0.107331771,-0.087645769,-0.071059497,-0.074775659,-0.104612303,0.059108914,-0.042441965,-0.105767919,-0.034922669,0.054472505,0.021850511850512483,0.064434539,-0.139522578,-0.026994347,-0.003871009,0.070735542,-0.079607484,-0.055691857,0.009672543,-0.182184413,0.069625817,0.013643075953773872,-0.100201822,-0.04321873,0.074947399,-0.016227927,0.051636537,0.036204251,0.067781266,0.16075442137400378,-0.065909434,-0.103919228,0.032549096329656434,0.031135938315265416,0.028671529,-0.03296802,0.32270425407604364,0.17922770655184533,-0.000778154,1,nan
file1_cell1015,-0.013551812,-0.028485989,-0.00705133,-0.058292806,-0.013117176,-0.013237662,0.002567611,-0.063314866,-0.009281365,-0.008522756,-0.012265378,-0.069324901,-0.044725134,-0.025252247,-0.034501805,-0.059363797,0.016421335079837406,-0.02965818,-0.043523173,-0.071280694,0.020874204438996496,-0.026053627,-0.005875296,-0.067424786,-0.007923023,-0.026456408,0.038831604,-0.03883132,-0.007747724,-0.015490221,-0.034823982,-0.003416954,0.005671767,-0.055043398,-0.025533032,0.00959155,0.001276528,0.005211002,-0.010986337,0.004582693,-0.013556241,0.018751614,0.006813522,-0.02289874,-0.027995479,0.015647064,-0.016011727,-0.00985547,0.027433458,-0.008681521,1,nan
file1_cell1016,-0.058464944,-0.167769501,-0.020788577,-0.038523773,-0.067300539,-0.078856913,-0.011990986,-0.04721642,-0.002549054,-0.004506086,0.00911654,-0.037783255,-0.025907834,-0.203672396,-0.215039978,-0.220552412,0.2512534308768858,-0.204368007,-0.391960936,1.2794382622028118,-0.033592717,-0.672026013,0.15366230722334964,-0.178233777,0.316999049,0.18605304930020344,0.13388129108845534,-0.106936896,0.3364151249981722,-0.463217946,-0.108583684,0.013545248,0.22861507098853925,-0.668979307,-0.009514827,-0.219529244,0.4423607277263704,0.4440089993994018,0.33250738050613066,-0.791429422,0.3533193643150883,0.47288265148958714,0.5295467985320178,0.041574596,-0.138829198,-0.824859176,-0.304298591,0.7384453090731893,0.005174052,1.0926134541460581,1,nan
file1_cell1017,-0.020448235,-0.040104849,0.013120725,-0.056799622,0.012951126838463526,-0.021152773,-0.009821516,-0.046130072,-0.018509532,-0.01437511,-0.010304739,-0.048107308,-0.04324137,-0.038918231,-0.055638271,-0.039906805,0.018481473717539998,-0.028618348,-0.059116914,-0.10616191,0.020256221315473624,-0.009020116,-0.046112636,-0.051105135,-0.01768777,-0.009236808,0.020581559655553285,-0.033041002,0.003889992,-0.041697883,-0.006136789,-0.006671479,-0.020447656,-0.070345158,-0.003407082,0.022497395,-0.006936845,0.00774242,0.022769477644546763,-0.018289611,-0.025642022,0.039596329034247986,0.010597433144765323,0.011301440450855457,-0.002477677,0.028560528883429668,-0.023151943,-0.03243078,0.029740833776488656,0.00554549,1,nan
file1_cell1018,-0.012546204,0.021910075273520884,0.078814278,-0.113741474,0.059309761386012995,-0.036320735,-0.08772369,-0.108294301,-0.069175154,-0.063523735,0.088617478,-0.108375749,-0.056021031,-0.034741318,-0.162536835,-0.269683737,-0.119891205,-0.376637567,0.20957608169075864,-0.157558906,0.1924849578942266,-0.170046293,-0.442257261,-0.50589639,-0.001501932,-0.237809582,0.15959918347921723,-0.147505519,0.1995351703123219,-0.512726079,0.16511839204978884,0.18351486298638126,0.36622373977227307,0.20505323509348433,-0.036709401,0.2855814750873349,-0.103601027,0.088168527,-0.102610834,0.4887432687681274,-0.042262383,-0.61639374,-0.196094261,0.39824067637122174,0.23626622490338942,0.5612749561736085,-0.348143074,-0.013566363,-0.039161112,0.4983116070498404,1,nan
file1_cell1019,-0.024651259,-0.079162172,-0.041764626,-0.076942332,-0.049040615,-0.022029723,-0.037681548,-0.119515222,0.063519686,-0.017700401,-0.201945667,-0.046687866,-0.112956957,-0.141217849,0.019770258675730738,-0.134996959,-0.002756151,-0.009273063,-0.172850479,-0.092601053,0.13345080328753578,-0.119237834,0.052564728,-0.15334113,-0.162166813,0.04023837,0.516189885,0.068097071,-0.016944574,0.14131701007367367,-0.148390699,0.008714637,-0.216190858,-0.112394061,-0.1603134,0.1091452633276928,-0.033104377,-0.327208216,-0.646043615,-0.267018827,0.23685110031455026,-0.616480012,0.3225182158447133,0.3249015422417325,-0.065658006,0.41087012355983393,-0.500291208,-0.569475579,0.052574002,0.2704340191893334,1,nan
